No,Wolof,Français,Anglais,Espagnol,Catalan
2,Na nga def ?,Comment vas tu ?,How are you ?,¿Cómo estás?,Com estàs ?
3,Mangui gui fi,Je vais bien,I'm fine,Estoy bien,Estic bé
4,iow nak no def ?,Et toi comment va tu ?,And you how are you ?,Y tú ¿Cómo estás?,I tu com estàs ?
5,Mangui ci diam,Ca va,I'm good,Estoy bien,Estic bé
6,Kay gnou lekk,Viens on mange,Let's take a meal,Vamos a comer,Anem a menjar
7,Gnata att nga am ?,Quelle age as-tu ?,How old are you ?,¿Cuántos años tienes?,Quants anys tens ?
8,Tay dama woorr,J'ai jeûné aujourd'hui,I fasted today,No he comido hoy,Avui no he menjat
9,Fane nga deuk ?,Où est-ce que tu habites ?,Where do you live ?,¿Dónde vives?,On vius ?
10,Nane nga toudou ?,Comment est-ce que tu t'appelle ?,What's your name ?,¿Cómo te llamas?,Quin és el teu nom ?
11,Mangui toudou X,Je m'appelle X,My name is X,Me llamo X,Em dic X
12,Dama la sokhla,J'ai besoin de toi,I need you,Te necesito,Et necessito
13,Dama khiff,J'ai faim,I am hungry,Tengo hambre,Tinc fam
14,Dama marr,J'ai soif,I am thirsty,Tengo sed,Tinc set
15,Mangui joko si leund mi,Je me connecte sur le web,I am surfing on the web,Estoy conectado a internet,Estic navegant per la web
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,I love Technology,Amo la tecnología,M'encanta la tecnologia
17,Dama beug ndekki,Je veux prendre un petit déjeuner,I want to take a breakfast,Quiero desayunar,Vull esmorzar
18,Dama beug Agne,Je veux prendre un déjeuner,I want to have lunch,Quiero comer,Vull dinar
19,Dama beug rére,Je veux prendre un dîner,I want to have a dinner,Quiero cenar,Vull sopar
20,Damay takk jabar,Je vais me marier,I'm getting married,Me voy a casar,M'estic casant
21,Mayma khaliss,Donne moi de l'argent,Give me some money,Dame dinero,Doneu-me una mica de diners.
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,What time is it ?,¿Qué hora es?,Quiena hora es ?
23,Dama sonne,Je suis fatigué,I'm tired,Estoy cansado,Estic cansat
24,Bu la neexee,S’il vous plaît,Please,Por favor,Si us plau
25,Amul sólo,Je vous en prie,You’re welcome,De nada,De res
26,Kay niou dem,Viens on y va,Come let's go,Vamonos,Anem
27,Jéggël ma,Excusez-moi,Excuse me,Disculpe,Disculpa
